composition,hardness
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,16.5
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,16.5
Al0.545 Cr0.545 Fe0.515 Ni1 Ti0.273,16.3
Al0.56 Co1 Cr1 Fe1 Mn1 Ni1,16
Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,16
Al1 Li0.062 Mg0.062 Sn0.062 Zn0.062,16
Al1 Co1 Cr1 Fe1 Ni1,16
Hf1 Mo1 Nb1 Ta1 Zr1,16
Al0.515 Cr0.515 Fe1 Ni1,15.7
Hf1 Sc1 Ti1 Y1 Zr1,15.7
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,15.5
Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,15
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.067 Ni1,14.7
Cr1 Cu1 Fe1 Mn1 Ni1,14.5
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.1 Ni0.967,14.5
C0.5 Mo1 Nb1 Re0.5 Ta0.5 W1,14.2
Nb1 Ti1 Zr1,14.2
Cr1 Cu1 Fe1 Mn1 Ni1,14
C0.6 Mo1 Nb1 Re0.5 Ta0.6 W1,13.8
Al1 Co1 Cu1 Fe1 Ni0.5,13.7
Al0.25 Mo1 Nb1 Ti1 V1,13
Al0.429 Ca0.286 Li1 Mg1 Si0.143,13
Al0.364 Cr0.455 Fe0.455 Ni1,12.7
C0.4 Mo1 Nb1 Re0.5 Ta0.4 W1,12.7
Al1 Co1 Cu1 Fe1 Ni0.8,12.3
Hf1 Nb1 Ta1 Ti1 Zr1,12.3
C0.2 Mo1 Nb1 Re0.5 Ta0.2 W1,12.1
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,12
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,12
Nb1 Ta1 V1 W1,12
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,12
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333,11.85
Al0.5 Mo1 Nb1 Ti1 V1,11
Hf1 Nb1 Si0.5 Ti1 V1,11
Al1 Co1 Cr1 Fe1 Ni1 Ti1,10.7
Mo1 Nb1 Re0.5 W1,10.4
Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,10.02
Hf1 Mo1 Nb1 Ti1 Zr1,10
Al1 Co1 Cr1 Fe1 Ni1,10
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,9.98
Al0.429 Cr0.476 Fe0.476 Ni1,9.1
Co1 Cr1 Fe1 Nb0.206 Ni1,9
Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,9
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,9
Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,9
Al1 Nb1 Ti1 Zr1,8.6
Al0.75 Mo1 Nb1 Ti1 V1,8
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,7.9
Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667,7.73
Cr1 Fe1 Ni1 V0.5 W1,7.3
Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,7
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,6.78
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,6.6
Cr1 Fe1 Ni1 Ti0.4,6.5
Al0.5 Cr0.5 Fe0.5 Ni1,6.4
Nb1 Ta1 Ti1 Zr1,6.4
Al1 Co1 Cr1 Fe1 Ni1 Ti1,6.18
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,6
Cr1 Fe1 Ni1 Ti0.2,5.8
Al0.62 Co1 Cr1 Fe1 Mn1 Ni1,5
Co1 Cr1 Fe1 Nb0.309 Ni1,4
Hf1 Mo1 Ta1 Ti1 Zr1,4
Al1 Cu0.077 Mg0.077 Si0.231 Zn0.077 Zr0.077,4
Hf1 Mo1 Ta1 Ti1 Zr1,4
Al0.667 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti1,3.15
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,3
Al1 Mo1 Nb1 Ti1 V1,3
Cr1 Hf1 Nb1 Ti1 Zr1,3
Al0.569 Ca0.143 Li0.857 Mg1 Si0.286 Y0.003,3
Cr1 Fe1 Mo1 Nb1 V1,2.7
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,2
Mo1 Nb1 Ta1 V1 W1,2
Mo1 Nb1 Ta1 W1,2
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,2
Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,2
Fe1 Mo1 Nb1 Ti1 V1,1.7
Co1 Cr1 Fe1 Nb0.412 Ni1,1
Al1 Li1 Mg1 Sn1 Zn1,1
Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1
Al0.667 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1
Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1
Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,1
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,1
Cr1 Fe1 Mo1 Nb1 Ti1,0.9
Nb1 Ta0.667 Ti0.667 Zr0.333,0.33
Al1 Co1 Cr1 Cu1 Fe1 Ni1,0.2
Ta1 Ti1 Zr1,0
Nb0.333 Ta0.667 Ti0.667 Zr1,0
