composition,hardness
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,2016
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,2016
Co1 Cr1 Fe1 Ni1 Ti1,2020
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,2050
Mo1 Nb1 Ti1 V1,2050
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,2052
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,2083
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,2110
Cr1 Hf1 Nb1 Ti1 Zr1,2130
Mo1 Nb1 Ta1 Ti1 V1 W1,2135
C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,2139
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,2150
Al1 C1 Co1 Cr1 Fe1 Ni1,2166
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,2173
Al1 C0.3 Co1 Cr1 Fe1 Ni1,2178
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,2195
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,2242
Al1 C0.5 Co1 Cr1 Fe1 Ni1,2250
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,2280
Al1 C0.4 Co1 Cr1 Fe1 Ni1,2375
Al1 C0.2 Co1 Cr1 Fe1 Ni1,2386
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,2389
Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,2431
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,2444
Mo1 Nb1 Ta1 Ti1 V1,2450
Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,2508
Al1 C0.1 Co1 Cr1 Fe1 Ni1,2550
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,2664
Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,2697
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,2720
Al1 Cr1 Fe1 Ni1,2927
Al1 Co1 Cr1 Fe1 Ni1 Si1,2950
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,2953
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,3008
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,3036
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,3140
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,3161
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,3166.2
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,3170
Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,3176
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,3208
Al1 Cr1 Fe1 Mo0.2 Ni1,3222
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,3285
Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,3300
Mo1 Nb1 Ti1 V0.5 Zr1,3307
Mo1 Nb1 Ti1 Zr1,3450
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,3641.5
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,3673.4
Mo1 Nb1 Ti1 V1 Zr1,3828
Mo1 Nb1 Ti1 V0.25 Zr1,3893
Mo1 Nb1 Ti1 V0.75 Zr1,3929
